============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  207  1 .9066403E+06   2000160E-02  .8483E+02 -.5840E+02   .9998675  .0108504 -.0121357
T  208  1 .9241490E+06   2000165E-02 -.1038E+03  .1557E+02   .9999050 -.0135162 -.0027041
T  209  1 .9112900E+06   2000207E-02  .1731E+03 -.1484E+03   .9997652  .0186300 -.0110700
T  210  1 .8994500E+06   2000231E-02 -.9031E+00 -.4288E+02   .9999917 -.0012635  .0038615
T  211  1 .9111076E+06   2000138E-02  .2040E+03  .4472E+02   .9982594  .0561180 -.0181355
T  212  1 .9046876E+06   2000004E-02  .7034E+02  .2608E+02   .9999472  .0100635 -.0020638
T  213  1 .9085390E+06   2000192E-02 -.4236E+02 -.2741E+02   .9999167 -.0058060  .0115262
T  214  1 .9205438E+06   2000162E-02 -.2477E+02  .6939E+02   .9999591  .0085465  .0029696
T  215  1 .9149876E+06   2000150E-02 -.4477E+02 -.1594E+03   .9999133 -.0128608 -.0028256
T  216  1 .9042338E+06   2000035E-02 -.4891E+02  .1304E+03   .9997870 -.0111762  .0173483
T  217  1 .9116452E+06   2000111E-02 -.2942E+03  .3444E+02   .9992937 -.0359961  .0107920
T  218  1 .9045204E+06   2000193E-02 -.1357E+03 -.1572E+02   .9999869 -.0031837  .0040083
T  219  1 .9141105E+06   2000001E-02 -.6512E+03 -.1081E+03   .9981145 -.0601469 -.0122353
T  220  1 .9127268E+06   2000096E-02  .1844E+02  .8440E+02   .9999407  .0040364  .0101177
T  221  1 .9154397E+06   2000153E-02  .4521E+01  .1108E+03   .9998339 -.0100191  .0152228
